,glacier,region,N_scalar,ice_flux,boundary_flux,proximal_flux,sediment_flux,max_velocity,max_pressure,drainage_area,mean_fringe,med_fringe
69,akullersuup-sermia,SW,0.7,0.443064236251,32718902.8815,100535266.378,133254169.259,1146.47950324,6847533.18974,1602.92521217,0.394275960695,0.219732597677
70,eqip-sermia,CW,0.7,0.986256465941,21626161.3205,171955484.239,193581645.56,1228.55946054,4994775.76478,418.321175513,0.313004805609,0.244321755302
71,kista-dan-gletsjer,CE,0.7,0.31215493097,186439574.352,283625169.731,470064744.082,795.868980918,6493423.86567,1830.96017169,0.293748692037,0.163276096203
72,rolige-brae,CE,0.6,0.626706118687,31107072.6993,58139839.5609,89246912.2603,454.142785239,11412888.0503,4574.69013686,0.313565042661,0.157581129468
73,sermeq-avannarleq,CW,0.6,2.21177996577,96067576.6753,462842046.275,558909622.95,1565.6979767,15835668.0503,27042.5919779,2.77823396924,2.89917070805
74,charcot-gletscher,CE,0.6,0.136207022143,0.0,243522.372026,243522.372026,512.401785448,6655026.38166,586.5812689,0.0678299302212,0.0409647279029
75,sydbrae,CE,0.6,0.285266681312,678792.67404,30799428.3499,31478221.0239,694.367287176,4401197.88141,826.307302857,0.0343984432311,0.00176721330462
76,kangiata-nunaata-sermia,SW,0.6,4.55254613726,18855139.3346,306300814.915,325155954.25,6003.63445181,11990513.5054,21388.1248376,0.836654518787,0.757935961874
77,eielson-gletsjer,CE,0.6,0.0450033456953,0.0,2935677.81508,2935677.81508,174.031718632,14195163.4717,8423.62502002,0.409105554699,0.261755759574
78,narsap-sermia,SW,0.6,3.136940135,3500759.95219,15791128.2265,19291888.1786,2752.47593772,10776482.9154,7490.67270659,0.378884757029,0.291754354793
79,kangilernata-sermia,CW,0.6,1.02435457097,44225252.7825,378946398.456,423171651.239,2505.59679412,15673499.457,35708.2091983,3.45752259984,3.86632421611
80,dode-brae,CE,0.6,0.102080032083,117959.419863,603656.092329,721615.512192,139.439525061,6328173.72912,1016.36984175,0.273300847759,0.176583573642
81,daugaard-jensen-gletsjer,CE,0.6,9.60515777231,373291516.326,669128807.293,1042420323.62,1438.48304808,15204387.7167,48811.736759,2.78727421117,3.01490924727
82,vestfjord-gletsjer,CE,0.6,2.39614215823,8634892.21568,75079814.2531,83714706.4688,1088.45613447,13398943.1189,10973.1700192,0.261696697491,0.0979263895342
83,sermeq-kullajeq,CW,0.6,7.39960691026,32575725.384,71252346.6661,103828072.05,4781.61904709,12046440.0773,6809.20178937,0.448415937524,0.427977136252
84,bredegletsjer,CE,0.6,0.814427067648,0.0,1745996.99369,1745996.99369,1371.40373128,3645614.62227,1093.79653359,0.0500823427653,0.00132426730554
85,magga-dan-gletsjer,CE,0.6,2.22887982099,34330704.2886,81066175.0082,115396879.297,3451.88422983,8700807.43454,3455.91472526,0.206484026695,0.0299807835832
86,graah-gletscher,CE,0.6,1.07207330861,0.0,2485693.58771,2485693.58771,1556.06685632,7234182.52732,976.59708075,0.0790493499846,0.0219556439633
87,akullersuup-sermia,SW,0.6,0.443064236251,34574760.5615,101665632.785,136240393.347,1146.47950324,8092539.22424,1602.92521217,0.57048627879,0.32542622172
88,eqip-sermia,CW,0.6,0.986256465941,26007135.1871,165691281.907,191698417.094,1228.55946054,5902916.81293,418.321175513,0.415157222325,0.343185939957
89,kista-dan-gletsjer,CE,0.6,0.31215493097,184021966.023,278499514.846,462521480.869,795.868980918,7674046.3867,1830.96017169,0.35254123168,0.200914176978
