Age [ka BP]	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)
0.5015	30.88	31.086	30.587
0.5025	30.88	31.09	30.59
0.5035	20.59	20.73	20.396
0.5045	30.89	31.099	30.599
0.5055	20.6	20.735	20.401
0.5065	20.6	20.738	20.403
0.5075	10.3	10.4	10.2
0.5085	30.91	31.114	30.611
0.5095	30.91	31.118	30.615
0.5105	30.91	31.123	30.618
0.5115	10.3	10.4	10.2
0.5125	20.61	20.752	20.415
0.5135	30.92	31.134	30.628
0.5145	20.62	20.758	20.42
0.5155	30.93	31.142	30.634
0.5165	30.93	31.144	30.636
0.5175	20.63	20.766	20.427
0.5185	20.63	20.768	20.429
0.5195	30.95	31.157	30.648
0.5205	41.27	41.548	40.867
0.5215	20.64	20.777	20.436
0.5225	20.64	20.779	20.438
0.5235	20.64	20.782	20.44
0.5245	30.96	31.177	30.665
0.5255	30.97	31.18	30.666
0.5265	20.65	20.79	20.447
0.5275	20.65	20.792	20.449
0.5285	30.98	31.193	30.678
0.5295	20.65	20.798	20.454
0.5305	30.99	31.2	30.683
0.5315	20.66	20.803	20.458
0.5325	30.99	31.209	30.692
0.5335	31	31.214	30.695
0.5345	20.67	20.81	20.464
0.5355	20.67	20.814	20.467
0.5365	31.01	31.226	30.705
0.5375	20.67	20.819	20.472
0.5385	20.68	20.822	20.474
0.5395	31.02	31.236	30.713
0.5405	31.02	31.242	30.718
0.5415	20.68	20.83	20.481
0.5425	20.69	20.832	20.483
0.5435	20.69	20.836	20.485
0.5445	20.69	20.838	20.487
0.5455	20.69	20.841	20.489
0.5465	31.05	31.267	30.738
0.5475	20.7	20.847	20.493
0.5485	20.7	20.848	20.494
0.5495	20.7	20.852	20.498
0.5505	31.06	31.284	30.751
0.5515	31.07	31.288	30.754
0.5525	20.71	20.861	20.504
0.5535	20.71	20.862	20.505
0.5545	20.72	20.867	20.51
0.5555	31.08	31.302	30.766
0.5565	20.72	20.873	20.515
0.5575	41.45	41.746	41.029
0.5585	31.09	31.316	30.778
0.5595	31.1	31.32	30.782
